simTime,simDelta,xPos,yPos,zPos,speed,heading,steering,gas,brake,state1,state2,state3,state4,state5,state6,eulerX,eulerY,eulerZ,rpm,gear,leftBlinker,rightBlinker
208.875,0.016666,6631.618,-409.3997,-0.5060027,65.99843,-179.8263,-2.628,3.707223,0,1,1,3987.566,3995.582,5.253057,9.437169,0.04303049,-0.2213959,-179.8263,2013.711,3,1,1
208.8916,0.016666,6631.126,-409.4016,-0.5060061,65.99,-179.8277,-2.664,3.707223,0,1,1,3988.625,3996.566,5.249325,9.440894,0.04118444,-0.2219769,-179.8277,2012.29,3,1,1
208.9083,0.016666,6630.634,-409.4034,-0.5060095,65.98158,-179.8289,-2.736,3.707223,0,1,1,3988.625,3996.566,5.249325,9.440894,0.03936136,-0.2226376,-179.8289,2012.411,3,1,1
208.925,0.016666,6630.143,-409.4052,-0.5060128,65.97314,-179.8299,-2.772,3.707223,0,1,1,3989.682,3997.548,5.24607,9.444527,0.03758502,-0.2233657,-179.8299,2012.941,3,1,1
208.9416,0.016666,6629.651,-409.407,-0.5060158,65.96469,-179.8307,-2.808,3.707223,0,1,1,3989.682,3997.548,5.24607,9.444527,0.0358823,-0.2241468,-179.8307,2013.142,3,1,1
208.9583,0.016666,6629.16,-409.4088,-0.5060187,65.95606,-179.8313,-2.808,2.258446,0,1,1,3990.74,3998.531,5.243261,9.448069,0.03428235,-0.2249819,-179.8313,2006.025,3,1,1
208.975,0.016666,6628.668,-409.4105,-0.5060216,65.94599,-179.8319,-2.808,2.258446,0,1,1,3990.74,3998.531,5.243261,9.448069,0.03285723,-0.2260425,-179.8319,2013.783,3,1,1
208.9916,0.016666,6628.177,-409.4122,-0.5060248,65.93616,-179.8323,-2.808,2.258446,0,1,1,3991.797,3999.514,5.240864,9.451518,0.03164767,-0.227306,-179.8323,2010.439,3,1,1
209.0083,0.016666,6627.686,-409.4139,-0.5060281,65.92621,-179.8327,-2.808,2.258446,0,1,1,3991.797,3999.514,5.240864,9.451518,0.03061914,-0.2287384,-179.8327,2009.21,3,1,1
209.025,0.016666,6627.195,-409.4156,-0.5060313,65.91623,-179.8331,-2.808,2.258446,0,1,1,3992.854,4000.497,5.23884,9.454907,0.02974753,-0.2303061,-179.8331,2008.672,3,1,1
209.0416,0.016666,6626.704,-409.4172,-0.5060345,65.9063,-179.8334,-2.772,2.258446,0,1,1,3992.854,4000.497,5.23884,9.454907,0.0290044,-0.2319671,-179.8334,2008.676,3,1,1
209.0583,0.016666,6626.213,-409.4189,-0.5060374,65.89599,-179.8338,-2.772,1.011828,0,1,1,3993.911,4001.479,5.237147,9.458204,0.02836588,-0.2337251,-179.8338,2007.766,3,1,1
209.075,0.016666,6625.722,-409.4205,-0.5060403,65.88479,-179.8342,-2.772,1.011828,0,1,1,3993.911,4001.479,5.237147,9.458204,0.02780308,-0.2356936,-179.8342,2007.016,3,1,1
209.0916,0.016666,6625.231,-409.4221,-0.5060432,65.87355,-179.8346,-2.736,1.011828,0,1,1,3994.968,4002.46,5.235744,9.461411,0.02728672,-0.2378311,-179.8346,2006.335,3,1,1
209.1083,0.016666,6624.741,-409.4237,-0.5060459,65.8623,-179.8351,-2.736,1.011828,0,1,1,3994.968,4002.46,5.235744,9.461411,0.02679939,-0.2400971,-179.8351,2006.917,3,1,1
209.125,0.016666,6624.25,-409.4253,-0.5060484,65.85106,-179.8357,-2.736,1.011828,0,1,1,3996.024,4003.441,5.234589,9.464585,0.026327,-0.2424527,-179.8357,2006.888,3,1,1
209.1416,0.016666,6623.759,-409.4268,-0.5060506,65.83981,-179.8364,-2.736,1.011828,0,1,1,3996.024,4003.441,5.234589,9.464585,0.0258653,-0.2448538,-179.8364,2006.415,3,1,1
209.1583,0.016666,6623.269,-409.4283,-0.5060524,65.82838,-179.8372,-2.736,0.5064404,0,1,1,3997.08,4004.422,5.233643,9.467669,0.02541048,-0.2472767,-179.8372,2006.136,3,1,1
209.175,0.016666,6622.778,-409.4299,-0.5060537,65.81671,-179.8381,-2.736,0.5064404,0,1,1,3997.08,4004.422,5.233643,9.467669,0.02494606,-0.2497284,-179.8381,2005.163,3,1,1
209.1916,0.016666,6622.288,-409.4314,-0.5060546,65.80498,-179.8391,-2.736,0.5064404,0,1,1,3998.136,4005.403,5.232868,9.470692,0.0244763,-0.2521796,-179.8391,2005.125,3,1,1
209.2083,0.016666,6621.798,-409.4329,-0.5060551,65.79324,-179.8403,-2.736,0.5064404,0,1,1,3998.136,4005.403,5.232868,9.470692,0.02401919,-0.2545925,-179.8403,2004.747,3,1,1
209.225,0.016666,6621.308,-409.4343,-0.5060552,65.7815,-179.8415,-2.736,0.5064404,0,1,1,3999.191,4006.383,5.232235,9.473654,0.02359775,-0.2569333,-179.8415,2004.373,3,1,1
209.2416,0.016666,6620.818,-409.4358,-0.5060549,65.76977,-179.843,-2.736,0.5064404,0,1,1,3999.191,4006.383,5.232235,9.473654,0.02323448,-0.2591693,-179.843,2003.918,3,1,1
209.2583,0.016666,6620.328,-409.4372,-0.5060543,65.75798,-179.8445,-2.736,0.4053629,0,1,1,4000.246,4007.363,5.231717,9.476555,0.02294874,-0.2612793,-179.8445,2003.92,3,1,1
209.275,0.016666,6619.838,-409.4387,-0.5060534,65.74615,-179.8462,-2.736,0.4053629,0,1,1,4000.246,4007.363,5.231717,9.476555,0.02275473,-0.2632454,-179.8462,2003.9,3,1,1
209.2916,0.016666,6619.348,-409.4401,-0.5060523,65.73432,-179.848,-2.736,0.4053629,0,1,1,4001.301,4008.343,5.231291,9.479394,0.02266718,-0.2650477,-179.848,2003.699,3,1,1
209.3083,0.016666,6618.858,-409.4415,-0.5060511,65.72249,-179.8499,-2.736,0.4053629,0,1,1,4001.301,4008.343,5.231291,9.479394,0.02269815,-0.2666685,-179.8499,2003.31,3,1,1
209.325,0.016666,6618.369,-409.4428,-0.5060498,65.71066,-179.852,-2.736,0.4053629,0,1,1,4002.355,4009.322,5.230941,9.482173,0.0228553,-0.2680934,-179.852,2002.73,3,1,1
209.3416,0.016666,6617.879,-409.4442,-0.5060487,65.69884,-179.8542,-2.736,0.4053629,0,1,1,4002.355,4009.322,5.230941,9.482173,0.02314115,-0.2693119,-179.8542,2001.958,3,1,1
209.3583,0.016666,6617.39,-409.4456,-0.5060477,65.68703,-179.8565,-2.736,0.4053629,0,1,1,4003.409,4010.301,5.230658,9.48489,0.02355306,-0.2703172,-179.8565,2001.302,3,1,1
209.375,0.016666,6616.901,-409.4469,-0.5060471,65.67522,-179.859,-2.736,0.4053629,0,1,1,4003.409,4010.301,5.230658,9.48489,0.02408367,-0.2711063,-179.859,2000.75,3,1,1
209.3916,0.016666,6616.412,-409.4482,-0.5060468,65.66341,-179.8615,-2.736,0.4053629,0,1,1,4004.462,4011.28,5.230434,9.487547,0.02472143,-0.2716793,-179.8615,2000.296,3,1,1
209.4083,0.016666,6615.922,-409.4495,-0.5060471,65.65162,-179.8642,-2.736,0.4053629,0,1,1,4004.462,4011.28,5.230434,9.487547,0.0254505,-0.2720394,-179.8642,1999.935,3,1,1
209.425,0.016666,6615.433,-409.4508,-0.5060479,65.63982,-179.8669,-2.736,0.4053629,0,1,1,4005.515,4012.258,5.230267,9.490142,0.0262497,-0.2721937,-179.8669,1999.664,3,1,1
209.4416,0.016666,6614.944,-409.4521,-0.5060492,65.62803,-179.8697,-2.736,0.4053629,0,1,1,4005.515,4012.258,5.230267,9.490142,0.0271005,-0.2721502,-179.8697,1999.48,3,1,1
209.4583,0.016666,6614.456,-409.4533,-0.5060511,65.61624,-179.8726,-2.736,0.3379801,0,1,1,4006.568,4013.235,5.230158,9.492646,0.0279841,-0.271919,-179.8726,1998.693,3,1,1
209.475,0.016666,6613.966,-409.4545,-0.5060534,65.60439,-179.8755,-2.736,0.3379801,0,1,1,4006.568,4013.235,5.230158,9.492646,0.02887897,-0.2715201,-179.8755,1998.721,3,1,1
209.4916,0.016666,6613.478,-409.4557,-0.5060562,65.59251,-179.8786,-2.736,0.3379801,0,1,1,4007.621,4014.213,5.230112,9.495089,0.02976372,-0.2709725,-179.8786,1999.296,3,1,1
209.5083,0.016666,6612.989,-409.4569,-0.5060595,65.58064,-179.8816,-2.736,0.3379801,0,1,1,4007.621,4014.213,5.230112,9.495089,0.03062149,-0.2702893,-179.8816,1998.707,3,1,1
209.5249,0.016666,6612.5,-409.4581,-0.506063,65.56879,-179.8847,-2.736,0.3379801,0,1,1,4008.673,4015.19,5.230133,9.49744,0.03143901,-0.2694853,-179.8847,1997.741,3,1,1
209.5416,0.016666,6612.012,-409.4593,-0.5060669,65.55695,-179.8878,-2.736,0.3379801,0,1,1,4008.673,4015.19,5.230133,9.49744,0.03220528,-0.2685755,-179.8878,1998.023,3,1,1
209.5583,0.016666,6611.524,-409.4604,-0.5060707,65.54513,-179.8909,-2.7,0.4053629,0,1,1,4009.725,4016.167,5.230229,9.49973,0.0329108,-0.2675771,-179.8909,1996.919,3,1,1
209.575,0.016666,6611.036,-409.4615,-0.5060747,65.53336,-179.8941,-2.7,0.4053629,0,1,1,4009.725,4016.167,5.230229,9.49973,0.03355166,-0.2664998,-179.8941,1997.074,3,1,1
209.5916,0.016666,6610.547,-409.4626,-0.5060785,65.52158,-179.8972,-2.664,0.4053629,0,1,1,4010.776,4017.144,5.230406,9.501929,0.03412249,-0.2653668,-179.8972,1996.539,3,1,1
209.6083,0.016666,6610.059,-409.4637,-0.5060822,65.5098,-179.9003,-2.664,0.4053629,0,1,1,4010.776,4017.144,5.230406,9.501929,0.03462029,-0.2641942,-179.9003,1996.427,3,1,1
209.625,0.016666,6609.571,-409.4647,-0.5060856,65.49805,-179.9034,-2.664,0.4053629,0,1,1,4011.827,4018.119,5.230669,9.504066,0.03504384,-0.2630005,-179.9034,1995.266,3,1,1
209.6416,0.016666,6609.083,-409.4657,-0.5060889,65.48632,-179.9065,-2.628,0.4053629,0,1,1,4011.827,4018.119,5.230669,9.504066,0.03539421,-0.2618025,-179.9065,1994.659,3,1,1
209.6583,0.016666,6608.595,-409.4667,-0.5060918,65.47453,-179.9096,-2.628,0.3379801,0,1,1,4012.878,4019.095,5.231024,9.506083,0.03567166,-0.2606238,-179.9096,1994.487,3,1,1
209.6749,0.016666,6608.108,-409.4677,-0.5060944,65.4627,-179.9126,-2.628,0.3379801,0,1,1,4012.878,4019.095,5.231024,9.506083,0.03587484,-0.2594879,-179.9126,1994.886,3,1,1
209.6916,0.016666,6607.62,-409.4687,-0.5060967,65.45085,-179.9156,-2.628,0.3379801,0,1,1,4013.928,4020.071,5.231473,9.508037,0.03600617,-0.258413,-179.9156,1994.621,3,1,1
209.7083,0.016666,6607.132,-409.4696,-0.5060986,65.43904,-179.9185,-2.628,0.3379801,0,1,1,4013.928,4020.071,5.231473,9.508037,0.03607244,-0.2574066,-179.9185,1993.909,3,1,1
